Year,Value,UNIT_MEASURE,SERIES
2013.0,0.0,На 100.000 живорођених,Стопа смртности мајки
2014.0,0.0,На 100.000 живорођених,Стопа смртности мајки
2015.0,0.0,На 100.000 живорођених,Стопа смртности мајки
2016.0,0.0,На 100.000 живорођених,Стопа смртности мајки
2017.0,0.0,На 100.000 живорођених,Стопа смртности мајки
2018.0,0.0,На 100.000 живорођених,Стопа смртности мајки
2019.0,11.1,На 100.000 живорођених,Стопа смртности мајки
2020.0,5.8,На 100.000 живорођених,Стопа смртности мајки
2021.0,5.9,На 100.000 живорођених,Стопа смртности мајки
2022.0,24.2,На 100.000 живорођених,Стопа смртности мајки
2013.0,1.29,,SH_STA_FERT
2014.0,1.29,,SH_STA_FERT
2015.0,1.26,,SH_STA_FERT
2016.0,1.28,,SH_STA_FERT
2017.0,1.29,,SH_STA_FERT
2018.0,1.25,,SH_STA_FERT
2019.0,1.21,,SH_STA_FERT
2020.0,1.16,,SH_STA_FERT
2021.0,1.15,,SH_STA_FERT
2022.0,1.13,,SH_STA_FERT
,,,
,,,
,,,
,,,
