Year,Value,UNIT_MEASURE,SERIES
2013.0,308.1,Na milion stanovnika,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika
2014.0,571.6,Na milion stanovnika,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika
2015.0,812.7,Na milion stanovnika,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika
2016.0,1093.1,Na milion stanovnika,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika
2017.0,1229.1,Na milion stanovnika,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika
2018.0,1224.3,Na milion stanovnika,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika
2019.0,1058.9,Na milion stanovnika,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika
2020.0,1093.7,Na milion stanovnika,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika
2021.0,958.6,Na milion stanovnika,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika
2022.0,1179.5,Na milion stanovnika,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika
,,,
