Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2013.0,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.08
2014.0,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.06
2015.0,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.06
2016.0,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.07
2017.0,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.13
2018.0,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.09
2019.0,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.02
2020.0,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.09
2021.0,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.04
2022.0,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.09
2013.0,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,12.03
2014.0,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,11.78
2015.0,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,12.7
2016.0,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,12.88
2017.0,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,11.39
2018.0,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,10.53
2019.0,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,9.87
2020.0,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,9.2
2021.0,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,9.14
2022.0,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,8.23
,,,,,
