Year,SERIES,UNIT_MEASURE,SORT,Value
2013,FB_ATM_TOTL,NUMBER,,57.4
2014,FB_ATM_TOTL,NUMBER,,60.4
2015,FB_ATM_TOTL,NUMBER,,63.5
2016,FB_ATM_TOTL,NUMBER,,64.8
2017,FB_ATM_TOTL,NUMBER,,65.3
2018,FB_ATM_TOTL,NUMBER,,67.1
2019,FB_ATM_TOTL,NUMBER,,71.2
2020,FB_ATM_TOTL,NUMBER,,71.3
2021,FB_ATM_TOTL,NUMBER,,70.9
2022,FB_ATM_TOTL,NUMBER,,71.9
2013,FB_ATM_TOTL,NUMBER,_T,1012.0
2014,FB_ATM_TOTL,NUMBER,_T,1072.0
2015,FB_ATM_TOTL,NUMBER,_T,1133.0
2016,FB_ATM_TOTL,NUMBER,_T,1161.0
2017,FB_ATM_TOTL,NUMBER,_T,1172.0
2018,FB_ATM_TOTL,NUMBER,_T,1207.0
2019,FB_ATM_TOTL,NUMBER,_T,1281.0
2020,FB_ATM_TOTL,NUMBER,_T,1285.0
2021,FB_ATM_TOTL,NUMBER,_T,1270.0
2022,FB_ATM_TOTL,NUMBER,_T,1284.0
2013,FB_CBK_BRCH,NUMBER,BANKS_FBIH,32.9
2014,FB_CBK_BRCH,NUMBER,BANKS_FBIH,32.2
2015,FB_CBK_BRCH,NUMBER,BANKS_FBIH,31.2
2016,FB_CBK_BRCH,NUMBER,BANKS_FBIH,30.7
2017,FB_CBK_BRCH,NUMBER,BANKS_FBIH,30.8
2018,FB_CBK_BRCH,NUMBER,BANKS_FBIH,30.5
2019,FB_CBK_BRCH,NUMBER,BANKS_FBIH,29.6
2020,FB_CBK_BRCH,NUMBER,BANKS_FBIH,29.5
2021,FB_CBK_BRCH,NUMBER,BANKS_FBIH,29.4
2022,FB_CBK_BRCH,NUMBER,BANKS_FBIH,28.5
2013,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.5
2014,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.8
2015,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,2.0
2016,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.2
2017,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.2
2018,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.4
2019,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.5
2020,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.6
2021,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.6
2022,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.6
2013,FB_CBK_BRCH,NUMBER,_T,34.4
2014,FB_CBK_BRCH,NUMBER,_T,34.0
2015,FB_CBK_BRCH,NUMBER,_T,33.2
2016,FB_CBK_BRCH,NUMBER,_T,32.0
2017,FB_CBK_BRCH,NUMBER,_T,32.0
2018,FB_CBK_BRCH,NUMBER,_T,31.9
2019,FB_CBK_BRCH,NUMBER,_T,31.1
2020,FB_CBK_BRCH,NUMBER,_T,31.0
2021,FB_CBK_BRCH,NUMBER,_T,31.0
2022,FB_CBK_BRCH,NUMBER,_T,30.1
2013,FB_CBK_TOT,NUMBER,BANKS_FBIH,580.0
2014,FB_CBK_TOT,NUMBER,BANKS_FBIH,571.0
2015,FB_CBK_TOT,NUMBER,BANKS_FBIH,557.0
2016,FB_CBK_TOT,NUMBER,BANKS_FBIH,551.0
2017,FB_CBK_TOT,NUMBER,BANKS_FBIH,553.0
2018,FB_CBK_TOT,NUMBER,BANKS_FBIH,549.0
2019,FB_CBK_TOT,NUMBER,BANKS_FBIH,533.0
2020,FB_CBK_TOT,NUMBER,BANKS_FBIH,531.0
2021,FB_CBK_TOT,NUMBER,BANKS_FBIH,527.0
2022,FB_CBK_TOT,NUMBER,BANKS_FBIH,509.0
2013,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,27.0
2014,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,32.0
2015,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,36.0
2016,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,22.0
2017,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,22.0
2018,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,25.0
2019,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,27.0
2020,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,28.0
2021,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,28.0
2022,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,28.0
2013,FB_CBK_TOT,NUMBER,_T,607.0
2014,FB_CBK_TOT,NUMBER,_T,603.0
2015,FB_CBK_TOT,NUMBER,_T,593.0
2016,FB_CBK_TOT,NUMBER,_T,573.0
2017,FB_CBK_TOT,NUMBER,_T,575.0
2018,FB_CBK_TOT,NUMBER,_T,574.0
2019,FB_CBK_TOT,NUMBER,_T,560.0
2020,FB_CBK_TOT,NUMBER,_T,559.0
2021,FB_CBK_TOT,NUMBER,_T,555.0
2022,FB_CBK_TOT,NUMBER,_T,537.0
