Year,Value,UNIT_MEASURE,SERIES
2013.0,2.3,PT,NY_GDP_TOUR
2014.0,2.3,PT,NY_GDP_TOUR
2015.0,2.2,PT,NY_GDP_TOUR
2016.0,2.2,PT,NY_GDP_TOUR
2017.0,2.3,PT,NY_GDP_TOUR
2018.0,2.2,PT,NY_GDP_TOUR
2019.0,2.3,PT,NY_GDP_TOUR
2020.0,1.7,PT,NY_GDP_TOUR
2021.0,1.9,PT,NY_GDP_TOUR
2013.0,-2.1,PT,NY_GDP_AGR
2014.0,0.0,PT,NY_GDP_AGR
2015.0,2.2,PT,NY_GDP_AGR
2016.0,1.8,PT,NY_GDP_AGR
2017.0,9.3,PT,NY_GDP_AGR
2018.0,3.0,PT,NY_GDP_AGR
2019.0,6.8,PT,NY_GDP_AGR
2020.0,-28.8,PT,NY_GDP_AGR
2021.0,19.0,PT,NY_GDP_AGR
2022.0,20.5,PT,NY_GDP_AGR
,,,
