Year,Value,UNIT_MEASURE,SERIES
2013.0,1.246,HA_TH,AG_STATE_FRST
2014.0,1.247,HA_TH,AG_STATE_FRST
2015.0,1.243,HA_TH,AG_STATE_FRST
2016.0,1.241,HA_TH,AG_STATE_FRST
2017.0,1.241,HA_TH,AG_STATE_FRST
2018.0,1.236,HA_TH,AG_STATE_FRST
2019.0,1.234,HA_TH,AG_STATE_FRST
2020.0,1.234,HA_TH,AG_STATE_FRST
2021.0,1.241,HA_TH,AG_STATE_FRST
2013.0,277,HA_TH,AG_PRIV_FRST
2014.0,277,HA_TH,AG_PRIV_FRST
2015.0,277,HA_TH,AG_PRIV_FRST
2016.0,277,HA_TH,AG_PRIV_FRST
2017.0,277,HA_TH,AG_PRIV_FRST
2018.0,277,HA_TH,AG_PRIV_FRST
2019.0,277,HA_TH,AG_PRIV_FRST
2020.0,277,HA_TH,AG_PRIV_FRST
2021.0,277,HA_TH,AG_PRIV_FRST
2013.0,74.718.7,HACTARE,AG_PROT
2014.0,79.693.5,HACTARE,AG_PROT
2015.0,79.693.5,HACTARE,AG_PROT
2016.0,79.854.4,HACTARE,AG_PROT
2017.0,79.854.4,HACTARE,AG_PROT
2018.0,98.621.3,HACTARE,AG_PROT
2019.0,103.875.7,HACTARE,AG_PROT
2020.0,103.900.0,HACTARE,AG_PROT
,,,
,,,
