Year,SERIES,UNIT_MEASURE,Value
2013.0,Prilivi stranih izravnih investicija (SDI),BAM_M,236.3
2014.0,Prilivi stranih izravnih investicija (SDI),BAM_M,405.3
2015.0,Prilivi stranih izravnih investicija (SDI),BAM_M,484.9
2016.0,Prilivi stranih izravnih investicija (SDI),BAM_M,520.2
2017.0,Prilivi stranih izravnih investicija (SDI),BAM_M,581.3
2018.0,Prilivi stranih izravnih investicija (SDI),BAM_M,574.6
2019.0,Prilivi stranih izravnih investicija (SDI),BAM_M,397.7
2020.0,Prilivi stranih izravnih investicija (SDI),BAM_M,514.4
2021.0,Prilivi stranih izravnih investicija (SDI),BAM_M,930.1
2022.0,Prilivi stranih izravnih investicija (SDI),BAM_M,1001.2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
